Cp A 2 ms;Cp P 2 ms;Cr A 2 ms;Cr P 2 ms;Cp A 4 ms;Cp P 4 ms;Cr A 4 ms;Cr P 4 ms;Cp A 10 ms;Cp P 10 ms;Cr A 10 ms;Cr P 10 ms;Cp A 20 ms;Cp P 20 ms;Cr A 20 ms;Cr P 20 ms;Cp A 80 ms;Cp P 80 ms;Cr A 80 ms;Cr P 80 ms
90.01525116;84.25901031;91.67605591;86.0096283;90.09386063;84.22497177;91.7398262;85.90833664;90.05168762;84.29237518;91.75484619;84.29237518;90.10742798;84.24973221;91.7182724;85.90288849;90.14628811;84.23328514;91.68612041;85.94517975
90.16709137;84.191185;91.59333801;85.83666992;90.10122681;84.25740433;91.72733307;85.88553238;90.11743927;84.22813263;91.76845398;84.22813263;90.11969986;84.2666214;91.72055969;85.9133934;90.15028877;84.24064445;91.68587704;85.93948612
90.08581543;84.28610992;91.76916504;86.01254272;90.11219406;84.23503113;91.71020889;85.90245438;90.08918304;84.22427063;91.74783173;84.22427063;90.12673569;84.2137619;91.70997086;85.89767761;90.1640419;84.23602524;91.68958244;85.94070835
90.12597656;84.1940918;91.63001251;85.80580139;90.10087204;84.21643066;91.75006866;85.87170029;90.12024078;84.2338562;91.70618896;84.2338562;90.12731781;84.2436554;91.70175171;85.939151;90.15310879;84.23696976;91.68788586;85.94329185
90.04859924;84.23905182;91.77040863;86.05588531;90.10652924;84.22440338;91.72248077;85.9506073;90.10396881;84.24202728;91.70015259;84.24202728;90.11925278;84.24256058;91.70528488;85.89420242;90.145508;84.23696957;91.68434429;85.94103756
90.20294189;84.19190216;91.61631012;85.81632233;90.11713028;84.26410294;91.70306396;85.94709396;90.10986633;84.2428009;91.7393631;84.2428009;90.10309067;84.23537064;91.73996277;85.91148453;90.12560711;84.24789753;91.69001713;85.93657169
90.02258301;84.24524689;91.67928314;86.12702942;90.09122849;84.24675751;91.66616058;85.95571136;90.1191864;84.22709961;91.72479401;84.22709961;90.13346558;84.22503052;91.71715469;85.91018448;90.13197269;84.24350281;91.69072437;85.93802853
90.17912292;84.2145462;91.66313934;85.85417938;90.14457703;84.24751282;91.73770523;85.89701843;90.09581299;84.28828888;91.71104736;84.28828888;90.11504745;84.24330521;91.72123413;85.92573013;90.1440279;84.24503613;91.67967625;85.93405704
90.04847717;84.26811981;91.70892334;85.99269867;90.09996033;84.26124954;91.769207;85.90514374;90.1122879;84.22253265;91.77173309;84.22253265;90.14185867;84.22677841;91.71581955;85.91423264;90.14484444;84.23933296;91.69474468;85.94035873
90.1413269;84.19393921;91.74855804;85.94334412;90.09672165;84.27415848;91.76879883;85.89953613;90.08819275;84.23507233;91.75845795;84.23507233;90.1283371;84.22881393;91.71360474;85.9213768;90.14343319;84.2459713;91.68371334;85.93285141
90.03658295;84.25611877;91.66104126;85.95472717;90.13296127;84.23397827;91.72636414;85.91493607;90.13373566;84.20395966;91.7060318;84.20395966;90.15459976;84.21968155;91.71013641;85.93096008;90.13906269;84.2499054;91.69028549;85.93515568
90.1829071;84.18217468;91.74999237;85.84399414;90.10425186;84.26089859;91.73275757;85.89084244;90.08832092;84.24376373;91.73863068;84.24376373;90.12527161;84.23377838;91.69497528;85.91965485;90.13010826;84.24214668;91.68733959;85.93847942
90.04486847;84.27688599;91.66389465;86.00787354;90.10770798;84.23848343;91.72527695;85.91358185;90.10572968;84.27039032;91.70593109;84.27039032;90.12124252;84.240522;91.72759628;85.90137177;90.12392712;84.24126568;91.70002785;85.93087444
90.19599152;84.22400665;91.78437805;85.92501068;90.14461517;84.23157883;91.73344421;85.88808441;90.10051727;84.23984833;91.76442871;84.23984833;90.11990891;84.21003418;91.72792664;85.9115448;90.13462467;84.24287567;91.6973093;85.9357542
90.03669739;84.27380371;91.70523071;85.98027039;90.08430481;84.25524139;91.77227783;85.88774109;90.10628967;84.24061432;91.72699585;84.24061432;90.14240952;84.20787277;91.70812531;85.92698517;90.12104969;84.24092617;91.69609814;85.92839336
90.18884277;84.17169952;91.69808197;85.89290619;90.0741539;84.26966095;91.73636627;85.92172241;90.10808563;84.22884369;91.73544006;84.22884369;90.1206871;84.24862595;91.72268066;85.89962463;90.12299843;84.24293613;91.69722595;85.93599758
90.07449341;84.2780304;91.65390015;85.97455597;90.0593605;84.24205399;91.69696426;85.90937805;90.08520966;84.22286987;91.75648041;84.22286987;90.11306229;84.24666061;91.70556412;85.90671921;90.13521557;84.23971577;91.70517845;85.94052372
90.16690063;84.23989105;91.71121216;85.88524628;90.08166885;84.25373459;91.77572632;85.91672897;90.14059448;84.24515381;91.71690826;84.24515381;90.1283699;84.22504349;91.73879852;85.91776123;90.12946148;84.24913139;91.69913177;85.93373928
90.03289032;84.26676178;91.69126129;85.98506927;90.09763718;84.2264061;91.72594833;85.89208603;90.08596649;84.22130432;91.7428772;84.22130432;90.14352875;84.22879257;91.68289261;85.92441254;90.13248272;84.23160381;91.6962513;85.93015976
